"행정구역별","산업별","대표자연령대",2013,2014,2015,2016,2017
"전국","전체 산업","계",3676859,3812800,3874146,3950169,4019872
"전국","전체 산업","29세 이하",67568,83250,82917,91941,101673
"전국","전체 산업","30~39세",440893,468594,493652,515704,519616
"전국","전체 산업","40~49세",1142930,1149962,1120713,1127372,1127283
"전국","전체 산업","50~59세",1398124,1410031,1387242,1391856,1399680
"전국","전체 산업","60세 이상",627344,700963,789622,823296,871620
"전국","농업, 임업 및 어업(01~03)","계",2655,3159,3212,3627,3880
"전국","농업, 임업 및 어업(01~03)","29세 이하",14,27,28,36,33
"전국","농업, 임업 및 어업(01~03)","30~39세",145,199,218,236,257
"전국","농업, 임업 및 어업(01~03)","40~49세",509,674,685,755,802
"전국","농업, 임업 및 어업(01~03)","50~59세",1403,1524,1491,1642,1710
"전국","농업, 임업 및 어업(01~03)","60세 이상",584,735,790,958,1078
"전국","광업(05~08)","계",1881,2002,2021,2012,2001
"전국","광업(05~08)","29세 이하",10,17,13,11,12
"전국","광업(05~08)","30~39세",93,96,88,78,75
"전국","광업(05~08)","40~49세",303,310,316,289,340
"전국","광업(05~08)","50~59세",751,764,763,767,768
"전국","광업(05~08)","60세 이상",724,815,841,867,806
"전국","제조업(10~34)","계",382575,409232,429531,430948,433684
"전국","제조업(10~34)","29세 이하",3391,4912,5292,5710,6181
"전국","제조업(10~34)","30~39세",27602,32283,34284,35223,35399
"전국","제조업(10~34)","40~49세",114556,119629,121037,120409,119936
"전국","제조업(10~34)","50~59세",175332,181525,184882,185138,183530
"전국","제조업(10~34)","60세 이상",61694,70883,84036,84468,88638
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","계",1121,1302,1393,1585,1830
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",3,4,3,6,14
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",33,47,47,71,86
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",155,214,210,238,263
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",708,745,760,837,963
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",222,292,373,433,504
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",7565,8366,8540,8521,8533
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",64,91,83,104,107
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",529,625,613,615,607
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",1848,2151,2093,2009,2037
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",3797,3869,3865,3910,3881
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",1327,1630,1886,1883,1901
"전국","건설업(41~42)","계",118767,129667,134427,137220,138478
"전국","건설업(41~42)","29세 이하",941,1427,1461,1723,1982
"전국","건설업(41~42)","30~39세",9133,10628,11002,11197,11423
"전국","건설업(41~42)","40~49세",43982,46939,45760,46383,46225
"전국","건설업(41~42)","50~59세",51307,53904,55612,56555,57418
"전국","건설업(41~42)","60세 이상",13404,16769,20592,21362,21430
"전국","도매 및 소매업(45~47)","계",957058,993971,1012238,1017340,1022739
"전국","도매 및 소매업(45~47)","29세 이하",21305,25837,25131,27326,28830
"전국","도매 및 소매업(45~47)","30~39세",131695,143221,149429,155868,152419
"전국","도매 및 소매업(45~47)","40~49세",323114,323329,311254,312663,309054
"전국","도매 및 소매업(45~47)","50~59세",318321,324937,329154,328331,328232
"전국","도매 및 소매업(45~47)","60세 이상",162623,176647,197270,193152,204204
"전국","운수 및 창고업(49~52)","계",371628,379044,379437,385968,386919
"전국","운수 및 창고업(49~52)","29세 이하",2100,2442,2414,1941,2111
"전국","운수 및 창고업(49~52)","30~39세",30027,23752,26637,20748,19502
"전국","운수 및 창고업(49~52)","40~49세",78318,72922,69911,62354,62790
"전국","운수 및 창고업(49~52)","50~59세",146892,151582,146655,137075,135434
"전국","운수 및 창고업(49~52)","60세 이상",114291,128346,133820,163850,167082
"전국","숙박 및 음식점업(55~56)","계",685669,702596,710340,729175,747577
"전국","숙박 및 음식점업(55~56)","29세 이하",21636,27212,28479,31308,35546
"전국","숙박 및 음식점업(55~56)","30~39세",83289,95810,110624,119158,124595
"전국","숙박 및 음식점업(55~56)","40~49세",181906,186190,192486,196432,197916
"전국","숙박 및 음식점업(55~56)","50~59세",304284,286961,254368,256517,252072
"전국","숙박 및 음식점업(55~56)","60세 이상",94554,106423,124383,125760,137448
"전국","정보통신업(58~63)","계",35290,40304,42210,42539,42887
"전국","정보통신업(58~63)","29세 이하",514,930,818,973,1108
"전국","정보통신업(58~63)","30~39세",5322,6951,6852,7018,6997
"전국","정보통신업(58~63)","40~49세",16178,17225,17368,17316,17322
"전국","정보통신업(58~63)","50~59세",10497,11727,13120,13176,13400
"전국","정보통신업(58~63)","60세 이상",2779,3471,4052,4056,4060
"전국","금융 및 보험업(64~66)","계",41609,41969,42202,42809,43514
"전국","금융 및 보험업(64~66)","29세 이하",315,425,267,325,379
"전국","금융 및 보험업(64~66)","30~39세",3401,3626,2956,3229,3423
"전국","금융 및 보험업(64~66)","40~49세",13983,13253,11554,11595,11993
"전국","금융 및 보험업(64~66)","50~59세",17596,17958,20166,20710,20951
"전국","금융 및 보험업(64~66)","60세 이상",6314,6707,7259,6950,6768
"전국","부동산업(68)","계",119832,127228,131990,143461,152083
"전국","부동산업(68)","29세 이하",667,876,789,961,1233
"전국","부동산업(68)","30~39세",6778,7442,7338,8458,8912
"전국","부동산업(68)","40~49세",31792,33981,34079,36887,36153
"전국","부동산업(68)","50~59세",52100,52410,51769,56416,60213
"전국","부동산업(68)","60세 이상",28495,32519,38015,40739,45572
"전국","전문, 과학 및 기술 서비스업(70~73)","계",87868,96865,102444,103222,104251
"전국","전문, 과학 및 기술 서비스업(70~73)","29세 이하",735,1211,1228,1398,1480
"전국","전문, 과학 및 기술 서비스업(70~73)","30~39세",10950,13180,13891,14616,14686
"전국","전문, 과학 및 기술 서비스업(70~73)","40~49세",32861,34863,35582,35428,35194
"전국","전문, 과학 및 기술 서비스업(70~73)","50~59세",28909,31256,33067,33173,33575
"전국","전문, 과학 및 기술 서비스업(70~73)","60세 이상",14413,16355,18676,18607,19316
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",59755,65603,66404,67237,68177
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",924,1265,1117,1298,1398
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",8025,9381,9019,9329,9114
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",20592,22230,21588,21539,21598
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",22071,23022,23226,23604,23939
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",8143,9705,11454,11467,12128
"전국","공공행정, 국방 및 사회보장 행정(84)","계",12027,12057,12368,12454,12488
"전국","공공행정, 국방 및 사회보장 행정(84)","29세 이하",8,10,6,5,8
"전국","공공행정, 국방 및 사회보장 행정(84)","30~39세",167,161,149,144,149
"전국","공공행정, 국방 및 사회보장 행정(84)","40~49세",1762,1806,1415,1222,1153
"전국","공공행정, 국방 및 사회보장 행정(84)","50~59세",9358,9219,9476,9854,9995
"전국","공공행정, 국방 및 사회보장 행정(84)","60세 이상",732,861,1322,1229,1183
"전국","교육 서비스업(85)","계",173740,175606,176034,180595,185275
"전국","교육 서비스업(85)","29세 이하",5235,5630,5367,6078,6618
"전국","교육 서비스업(85)","30~39세",40115,39629,40995,43010,42756
"전국","교육 서비스업(85)","40~49세",75917,74367,68813,70024,71391
"전국","교육 서비스업(85)","50~59세",38015,40529,43947,45203,48645
"전국","교육 서비스업(85)","60세 이상",14458,15451,16912,16280,15865
"전국","보건업 및 사회복지 서비스업(86~87)","계",127925,134208,135286,141372,145909
"전국","보건업 및 사회복지 서비스업(86~87)","29세 이하",948,1042,751,866,957
"전국","보건업 및 사회복지 서비스업(86~87)","30~39세",19643,19515,18237,19045,19917
"전국","보건업 및 사회복지 서비스업(86~87)","40~49세",55607,55373,51192,52603,54058
"전국","보건업 및 사회복지 서비스업(86~87)","50~59세",38230,42697,46511,49069,50567
"전국","보건업 및 사회복지 서비스업(86~87)","60세 이상",13497,15581,18595,19789,20410
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","계",104222,103977,101221,110230,118797
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",3060,3446,3151,3906,4599
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",19474,18685,17327,19830,21863
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",31402,30497,29137,31454,32837
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",38312,37849,35694,38222,39738
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",11974,13500,15912,16818,19760
