"국적별","성별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"국적별","성별",외국인,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75세 이상,외국인,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75세 이상,외국인,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75세 이상,외국인,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75세 이상
"전국","계",1363712,23273,14901,9432,23534,145172,237392,200576,143273,122906,121216,117471,93754,62516,26148,9809,12339,1413758,25775,17566,10534,27311,152146,239214,213718,150460,120621,123306,123372,89458,68827,29011,9929,12510,1479247,27022,15152,8816,30563,161704,243718,231716,166309,120666,128530,121787,90876,76527,33057,10764,12040,1651561,32275,18792,11860,37692,194511,260938,258920,191494,134146,136565,124949,107372,81013,36694,12022,12318
"전국","남자",788663,11885,7683,4868,10961,78919,147001,131891,95078,76341,65943,58868,46436,31421,12666,4248,4454,815467,13143,9152,5440,12573,81969,148745,138444,98874,75112,67994,62726,44275,34555,14019,4207,4239,845663,13698,7801,4503,14142,86007,150593,147564,107308,74096,70938,62080,44566,38282,15873,4487,3725,945641,16441,9529,5984,18166,106914,162450,162953,121378,81783,76344,64497,52939,40166,17526,4947,3624
"전국","여자",575049,11388,7218,4564,12573,66253,90391,68685,48195,46565,55273,58603,47318,31095,13482,5561,7885,598291,12632,8414,5094,14738,70177,90469,75274,51586,45509,55312,60646,45183,34272,14992,5722,8271,633584,13324,7351,4313,16421,75697,93125,84152,59001,46570,57592,59707,46310,38245,17184,6277,8315,705920,15834,9263,5876,19526,87597,98488,95967,70116,52363,60221,60452,54433,40847,19168,7075,8694
"중국","계",188251,10049,4539,2385,10300,37043,30585,19408,16191,17329,15050,11050,7395,3455,1321,858,1293,201764,11632,5735,2883,11836,40793,29524,22350,17439,17241,16421,11713,7884,3420,1148,649,1096,212072,11375,6177,3304,11830,43909,28732,25359,20020,17195,17818,11989,8477,3780,1097,392,618,215367,10099,6496,3826,10066,44450,26230,27855,22201,18404,19379,12631,8273,3667,985,344,461
"중국","남자",89006,5082,2255,1197,4659,15552,14355,8721,8406,9577,7691,5239,3327,1630,578,314,423,94457,5921,2951,1430,5267,16271,13871,10076,8747,9402,8442,5521,3643,1663,555,281,416,99568,5760,3177,1673,5204,17364,13399,11707,9834,9195,9344,5833,4076,2007,541,197,257,102160,5152,3293,1941,4329,17374,12325,13403,10994,9848,10381,6422,4000,1883,472,167,176
"중국","여자",99245,4967,2284,1188,5641,21491,16230,10687,7785,7752,7359,5811,4068,1825,743,544,870,107307,5711,2784,1453,6569,24522,15653,12274,8692,7839,7979,6192,4241,1757,593,368,680,112504,5615,3000,1631,6626,26545,15333,13652,10186,8000,8474,6156,4401,1773,556,195,361,113207,4947,3203,1885,5737,27076,13905,14452,11207,8556,8998,6209,4273,1784,513,177,285
"중국(한국계)","계",500564,3518,1571,463,947,9850,46543,48117,41693,51589,70150,79784,66812,47864,19236,5793,6634,490000,4516,1842,528,912,8708,41743,48812,40182,44685,66737,82079,59816,52347,22454,6859,7780,497656,6314,2345,805,1131,8040,38357,53338,43946,41227,66459,77309,58032,58162,25924,7863,8404,531263,8736,3270,1619,1903,8548,32567,54937,46739,41867,68145,78622,74415,62051,29673,9050,9121
"중국(한국계)","남자",269722,1842,818,212,469,4692,25736,27971,26194,31135,37727,40968,34241,24458,9292,2197,1770,263787,2296,979,245,439,4128,22761,27848,25085,27520,36712,42823,30733,26725,10839,2663,1991,266490,3241,1244,397,526,3738,20519,30305,27185,25740,36825,40428,29461,29402,12446,3013,2020,285723,4401,1696,769,982,4330,17422,30881,28820,26625,38902,41760,38031,31240,14225,3488,2151
"중국(한국계)","여자",230842,1676,753,251,478,5158,20807,20146,15499,20454,32423,38816,32571,23406,9944,3596,4864,226213,2220,863,283,473,4580,18982,20964,15097,17165,30025,39256,29083,25622,11615,4196,5789,231166,3073,1101,408,605,4302,17838,23033,16761,15487,29634,36881,28571,28760,13478,4850,6384,245540,4335,1574,850,921,4218,15145,24056,17919,15242,29243,36862,36384,30811,15448,5562,6970
"대만","계",15596,300,332,499,902,1634,1377,1441,1120,993,1008,1284,1588,1123,669,414,912,15337,224,284,384,758,1701,1428,1395,1183,936,996,1191,1554,1230,702,430,941,15502,186,231,360,657,1776,1566,1489,1380,959,1043,1089,1490,1334,752,459,731,13798,201,199,319,551,1780,1531,1331,1274,875,887,853,1118,1120,698,455,606
"대만","남자",7979,164,172,267,479,610,557,646,538,551,616,770,950,664,374,192,429,7733,126,151,211,405,575,535,623,564,514,595,719,942,733,395,208,437,7555,104,122,197,346,588,541,597,644,507,598,667,894,796,423,239,292,6392,108,109,165,293,510,528,483,551,435,515,491,669,667,408,222,238
"대만","여자",7617,136,160,232,423,1024,820,795,582,442,392,514,638,459,295,222,483,7604,98,133,173,353,1126,893,772,619,422,401,472,612,497,307,222,504,7947,82,109,163,311,1188,1025,892,736,452,445,422,596,538,329,220,439,7406,93,90,154,258,1270,1003,848,723,440,372,362,449,453,290,233,368
