"행정구역별","각세별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","계","총전입","","7411784","7629098","7755286","7378430","7154226","7297099",
"전국","계","총전출","","7411784","7629098","7755286","7378430","7154226","7297099",
"전국","계","순이동","","0","0","0","0","0","0",
"전국","계","시군구간전입","","2124327","2163435","2189842","2084793","2041896","2091234",
"전국","계","시군구간전출","","2124327","2163435","2189842","2084793","2041896","2091234",
"전국","계","시도간전입","","2423429","2507796","2551424","2453342","2410930","2429184",
"전국","계","시도간전출","","2423429","2507796","2551424","2453342","2410930","2429184",
"전국","0세","총전입","","101250","95451","94245","88509","78659","74138",
"전국","0세","총전출","","101250","95451","94245","88509","78659","74138",
"전국","0세","순이동","","0","0","0","0","0","0",
"전국","0세","시군구간전입","","30733","28681","28305","26914","23797","22425",
"전국","0세","시군구간전출","","30733","28681","28305","26914","23797","22425",
"전국","0세","시도간전입","","31862","29242","29151","27193","24600","22542",
"전국","0세","시도간전출","","31862","29242","29151","27193","24600","22542",
"전국","1세","총전입","","107902","106545","99010","95850","89142","83228",
"전국","1세","총전출","","107902","106545","99010","95850","89142","83228",
"전국","1세","순이동","","0","0","0","0","0","0",
"전국","1세","시군구간전입","","31667","31634","28948","28280","26472","24736",
"전국","1세","시군구간전출","","31667","31634","28948","28280","26472","24736",
"전국","1세","시도간전입","","33117","31786","29583","29415","27761","24888",
"전국","1세","시도간전출","","33117","31786","29583","29415","27761","24888",
"전국","2세","총전입","","92917","94354","90346","80169","77565","78485",
"전국","2세","총전출","","92917","94354","90346","80169","77565","78485",
"전국","2세","순이동","","0","0","0","0","0","0",
"전국","2세","시군구간전입","","26678","26830","25565","22824","22390","22782",
"전국","2세","시군구간전출","","26678","26830","25565","22824","22390","22782",
"전국","2세","시도간전입","","28033","28061","26896","24390","23605","22878",
"전국","2세","시도간전출","","28033","28061","26896","24390","23605","22878",
"전국","3세","총전입","","81671","89645","88374","79919","72363","76682",
"전국","3세","총전출","","81671","89645","88374","79919","72363","76682",
"전국","3세","순이동","","0","0","0","0","0","0",
"전국","3세","시군구간전입","","22757","25055","24098","22172","20350","21575",
"전국","3세","시군구간전출","","22757","25055","24098","22172","20350","21575",
"전국","3세","시도간전입","","23868","25970","25875","23327","21584","22262",
"전국","3세","시도간전출","","23868","25970","25875","23327","21584","22262",
"전국","4세","총전입","","76005","75420","79369","73083","69389","67393",
"전국","4세","총전출","","76005","75420","79369","73083","69389","67393",
