"행정구역별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(1)",주민등록인구,합계,합계,합계,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민 세대수,주민등록인구,합계,합계,합계,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민 세대수,주민등록인구,합계,합계,합계,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,한국국적을 취득한 자,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민자녀,외국인주민 세대수
"행정구역별(1)",소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,혼인귀화자,혼인귀화자,혼인귀화자,기타사유,기타사유,기타사유,소계,소계,소계,외국인 부모,외국인 부모,외국인 부모,외국인-한국인부모,외국인-한국인부모,외국인-한국인부모,한국인 부모,한국인 부모,한국인 부모,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,혼인귀화자,혼인귀화자,혼인귀화자,기타사유,기타사유,기타사유,소계,소계,소계,외국인 부모,외국인 부모,외국인 부모,외국인-한국인부모,외국인-한국인부모,외국인-한국인부모,한국인 부모,한국인 부모,한국인 부모,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,혼인귀화자,혼인귀화자,혼인귀화자,기타사유,기타사유,기타사유,소계,소계,소계,외국인 부모,외국인 부모,외국인 부모,외국인-한국인부모,외국인-한국인부모,외국인-한국인부모,한국인 부모,한국인 부모,한국인 부모,소계
"행정구역별(1)",합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계
"합계",50948272,1445631,741372,704259,1120599,619187,501412,520906,372671,148235,147591,20887,126704,83484,40099,43385,187616,94767,92849,181002,90763,90239,133704,24461,109243,83929,4264,79665,49775,20197,29578,191328,97724,93604,12301,6205,6096,166333,84932,81401,12694,6587,6107,270112,51141463,1569470,810131,759339,1219188,678927,540261,538587,394513,144074,149764,21953,127811,80570,38013,42557,233265,116232,117033,217002,108216,108786,146078,26834,119244,90439,4261,86178,55639,22573,33066,204204,104370,99834,13512,6856,6656,179283,91607,87676,11409,5907,5502,284735,51327916,1741919,904938,836981,1376162,769515,606647,608116,442616,165500,147382,22309,125073,84329,38116,46213,286414,141559,144855,249921,124915,125006,158064,29346,128718,92316,4563,87753,65748,24783,40965,207693,106077,101616,14184,7135,7049,183732,93801,89931,9777,5141,4636,297021
"서울특별시",10195318,395640,179261,216379,325766,153687,172079,116113,63115,52998,30775,7486,23289,29071,11948,17123,78658,35358,43300,71149,35780,35369,40589,10735,29854,18476,1496,16980,22113,9239,12874,29285,14839,14446,4644,2351,2293,23168,11725,11443,1473,763,710,66406,10143645,415059,189107,225952,340850,161932,178918,104309,58845,45464,29818,7529,22289,29308,11711,17597,96440,43450,52990,80975,40397,40578,43983,11848,32135,18926,1422,17504,25057,10426,14631,30226,15327,14899,4686,2352,2334,24242,12285,11957,1298,690,608,68719,10103233,457806,209169,248637,382094,181678,200416,116817,65746,51071,28707,7399,21308,32226,11992,20234,116027,52547,63480,88317,43994,44323,45922,12392,33530,17751,1392,16359,28171,11000,17171,29790,15099,14691,4818,2425,2393,23957,12139,11818,1015,535,480,71020
"부산광역시",3538484,51617,27011,24606,39010,22416,16594,15938,13354,2584,6619,838,5781,6074,3133,2941,3961,1902,2059,6418,3189,3229,4296,385,3911,3582,106,3476,714,279,435,8311,4210,4101,196,98,98,7653,3881,3772,462,231,231,10760,3527635,54394,28237,26157,40667,23192,17475,16142,13737,2405,6824,881,5943,5926,2964,2962,4724,2229,2495,7051,3381,3670,4705,436,4269,3863,112,3751,842,324,518,9022,4609,4413,210,109,101,8408,4282,4126,404,218,186,11350,3519401,57807,30192,27615,43734,25018,18716,17299,14721,2578,6789,895,5894,6318,3003,3315,5476,2572,2904,7852,3827,4025,4931,473,4458,3865,108,3757,1066,365,701,9142,4701,4441,202,100,102,8537,4380,4157,403,221,182,11643
"대구광역시",2505644,32522,16348,16174,24076,13238,10838,10639,8136,2503,4514,506,4008,3050,1679,1371,2154,1029,1125,3719,1888,1831,2617,242,2375,2196,57,2139,421,185,236,5829,2868,2961,183,88,95,5274,2587,2687,372,193,179,7033,2501588,34976,17626,17350,25822,14286,11536,11338,8792,2546,4731,550,4181,3075,1661,1414,2520,1214,1306,4158,2069,2089,2849,259,2590,2396,66,2330,453,193,260,6305,3081,3224,195,94,101,5772,2822,2950,338,165,173,7469,2493264,37610,19247,18363,28181,15861,12320,12348,9639,2709,4767,589,4178,3169,1699,1470,3064,1473,1591,4833,2461,2372,3060,282,2778,2565,78,2487,495,204,291,6369,3104,3265,241,108,133,5825,2838,2987,303,158,145,7766
"인천광역시",2843981,75552,40048,35504,55930,32766,23164,26399,20473,5926,8486,1291,7195,2115,975,1140,8625,4667,3958,10305,5360,4945,8540,1554,6986,5293,292,5001,3247,1262,1985,11082,5728,5354,912,491,421,9477,4860,4617,693,377,316,16293,2879782,82523,43472,39051,61131,35572,25559,27388,21443,5945,8794,1386,7408,2143,1004,1139,10749,5545,5204,12057,6194,5863,9428,1756,7672,5770,322,5448,3658,1434,2224,11964,6144,5820,1050,557,493,10293,5255,5038,621,332,289,17410,2902608,91525,48054,43471,68610,39642,28968,30189,23325,6864,8816,1475,7341,2428,1089,1339,13354,6626,6728,13823,7127,6696,10581,2079,8502,5725,377,5348,4856,1702,3154,12334,6333,6001,1105,590,515,10639,5442,5197,590,301,289,18876
"광주광역시",1469216,22291,10784,11507,15901,8305,7596,6345,4989,1356,3089,249,2840,3064,1466,1598,1409,716,693,1994,885,1109,1871,123,1748,1624,25,1599,247,98,149,4519,2356,2163,85,38,47,4190,2180,2010,244,138,106,4898,1472910,24466,11870,12596,17297,9113,8184,6737,5401,1336,3164,268,2896,3202,1486,1716,1740,876,864,2454,1082,1372,2172,149,2023,1880,28,1852,292,121,171,4997,2608,2389,120,57,63,4597,2399,2198,280,152,128,5269,1475884,26536,13063,13473,19120,10272,8848,7538,6021,1517,3191,290,2901,3306,1500,1806,2115,1063,1052,2970,1398,1572,2349,157,2192,2021,44,1977,328,113,215,5067,2634,2433,107,52,55,4815,2506,2309,145,76,69,5521
