"행정구역별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(1)",총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀 (명),외국인주민자녀 (명),외국인주민자녀 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀 (명),외국인주민자녀 (명),외국인주민자녀 (명),총인구 (명),총인구 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀 (명),외국인주민자녀 (명),외국인주민자녀 (명)
"행정구역별(1)",소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계
"행정구역별(1)",합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자
"합계",51269554,1764664,946561,818103,1413758,815467,598291,541673,416357,125316,159501,28728,130773,95963,41861,54102,235926,119263,116663,380695,209258,171437,159447,32816,126631,191459,98278,93181,51422507,1861084,989286,871798,1479247,845663,633584,495792,387579,108213,160653,30745,129908,117127,52258,64869,276750,138002,138748,428925,237079,191846,169535,34762,134773,212302,108861,103441,51629512,25877195,25752317,2054621,1098135,956486,1651561,945641,705920,528063,411036,117027,166882,32858,134024,142757,66545,76212,296023,147461,148562,517836,287741,230095,176915,36657,140258,226145,115837,110308
"서울특별시",9805506,404037,189361,214676,335167,162741,172426,85878,51724,34154,33139,9524,23615,37178,13049,24129,80712,36109,44603,98260,52335,45925,40775,12411,28364,28095,14209,13886,9741871,413943,192250,221693,343927,165249,178678,70077,43365,26712,32061,9768,22293,44150,15142,29008,92060,40974,51086,105579,56000,49579,41692,12722,28970,28324,14279,14045,9673936,4718972,4954964,446473,210415,236058,374425,182420,192005,80567,50594,29973,32677,9937,22740,50488,17676,32812,93067,41613,51454,117626,62600,55026,42040,12854,29186,30008,15141,14867
"부산광역시",3440484,59872,31901,27971,46168,26920,19248,15934,14028,1906,6672,984,5688,7346,3203,4143,3644,1773,1871,12572,6932,5640,5181,614,4567,8523,4367,4156,3416918,64145,33841,30304,48808,28130,20678,14901,13245,1656,6841,1096,5745,9071,4202,4869,3961,1889,2072,14034,7698,6336,5496,657,4839,9841,5054,4787,3395278,1668984,1726294,71570,37623,33947,55506,31621,23885,14779,13012,1767,6949,1108,5841,11370,5549,5821,3911,1836,2075,18497,10116,8381,5671,694,4977,10393,5308,5085
"대구광역시",2461002,40251,21407,18844,30492,17948,12544,11181,9162,2019,4793,694,4099,2844,1515,1329,2637,1401,1236,9037,5176,3861,3610,388,3222,6149,3071,3078,2453041,42506,22137,20369,31365,18112,13253,10219,8462,1757,4943,759,4184,3240,1722,1518,2986,1594,1392,9977,5575,4402,3872,419,3453,7269,3606,3663,2444412,1212777,1231635,47017,24117,22900,35280,19839,15441,9718,8050,1668,5154,799,4355,4248,2230,2018,3172,1688,1484,12988,7072,5916,4022,438,3584,7715,3840,3875
"인천광역시",2913024,94670,50587,44083,71873,41959,29914,25628,20723,4905,9873,2031,7842,2702,1111,1591,11881,5829,6052,21789,12265,9524,11115,2615,8500,11682,6013,5669,2925967,104441,55363,49078,79170,45773,33397,23783,19393,4390,10143,2268,7875,3268,1467,1801,14829,7053,7776,27147,15592,11555,12483,3038,9445,12788,6552,6236,2936117,1476097,1460020,115720,61181,54539,88489,50742,37747,25539,20632,4907,10875,2498,8377,3978,1835,2143,17295,8205,9090,30802,17572,13230,13560,3414,10146,13671,7025,6646
"광주광역시",1501557,31162,15945,15217,23701,13211,10490,7538,5997,1541,3298,361,2937,3577,1750,1827,2173,1148,1025,7115,3955,3160,2703,234,2469,4758,2500,2258,1496172,34412,17661,16751,26052,14532,11520,7413,5904,1509,3372,416,2956,4271,2205,2066,2652,1363,1289,8344,4644,3700,2912,239,2673,5448,2890,2558,1490092,741728,748364,38698,19943,18755,29833,16601,13232,7515,5981,1534,3413,456,2957,5203,2779,2424,2829,1454,1375,10873,5931,4942,3042,255,2787,5823,3087,2736
"대전광역시",1535445,26656,11817,14839,19687,9222,10465,3079,2160,919,3361,422,2939,5467,2633,2834,1644,763,881,6136,3244,2892,2538,317,2221,4431,2278,2153,1525849,28404,12647,15757,20534,9703,10831,2826,2006,820,3346,465,2881,6003,2955,3048,1805,839,966,6554,3438,3116,2760,340,2420,5110,2604,2506,1511214,758035,753179,31100,14053,17047,22858,10959,11899,2903,2046,857,3355,496,2859,6470,3310,3160,1821,835,986,8309,4272,4037,2877,357,2520,5365,2737,2628
"울산광역시",1166033,35929,20768,15161,28792,18160,10632,11690,9585,2105,3332,444,2888,1067,683,384,5150,3287,1863,7553,4161,3392,2885,429,2456,4252,2179,2073,1157077,34373,19260,15113,26601,16354,10247,9218,7756,1462,3346,480,2866,1171,720,451,5091,3134,1957,7775,4264,3511,2950,421,2529,4822,2485,2337,1150116,595795,554321,35249,19555,15694,27162,16532,10630,8818,7339,1479,3373,512,2861,1446,943,503,4948,3040,1908,8577,4698,3879,3038,422,2616,5049,2601,2448
"세종특별자치시",242507,6084,3351,2733,4835,2883,1952,1876,1528,348,598,97,501,556,273,283,604,328,276,1201,657,544,455,57,398,794,411,383,276589,6761,3683,3078,5290,3130,2160,1886,1543,343,691,122,569,606,307,299,770,413,357,1337,745,592,534,69,465,937,484,453,312374,157289,155085,8187,4545,3642,6486,3887,2599,2013,1659,354,758,131,627,1023,609,414,821,448,373,1871,1040,831,593,79,514,1108,579,529
"경기도",12671956,571384,319501,251883,472699,282365,190334,204280,153244,51036,46297,9712,36585,11879,6039,5840,88179,45126,43053,122064,68244,53820,49551,11967,37584,49134,25169,23965,12851601,603609,336239,267370,497089,295967,201122,189028,144869,44159,47161,10416,36745,14609,7516,7093,106827,53938,52889,139464,79228,60236,53368,12950,40418,53152,27322,25830,13103188,6635106,6468082,672791,376838,295953,558197,333260,224937,205140,156867,48273,50059,11404,38655,19101,9978,9123,118760,59679,59081,165137,95332,69805,57082,14040,43042,57512,29538,27974
