"연령별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"계","총계","계","","360473","407063","372935","402203","452657","495079",
"계","총계","남자","","201044","223706","200112","217452","245397","268533",
"계","총계","여자","","159429","183357","172823","184751","207260","226546",
"계","공무","계","","526","603","582","760","717","958",
"계","공무","남자","","282","362","345","469","435","600",
"계","공무","여자","","244","241","237","291","282","358",
"계","사증면제","계","","12612","47296","20212","33941","87984","99156",
"계","사증면제","남자","","5748","25915","8471","15361","44527","48571",
"계","사증면제","여자","","6864","21381","11741","18580","43457","50585",
"계","관광통과","계","","22044","23441","26335","23863","24137","32990",
"계","관광통과","남자","","11290","12346","14260","12822","13669","19541",
"계","관광통과","여자","","10754","11095","12075","11041","10468","13449",
"계","일시취재","계","","5","1","4","","3","10",
"계","일시취재","남자","","4","1","3","","3","9",
"계","일시취재","여자","","1","0","1","","0","1",
"계","단기방문","계","","73162","54904","64459","64412","62527","63315",
"계","단기방문","남자","","38866","28822","33682","35159","35336","35655",
"계","단기방문","여자","","34296","26082","30777","29253","27191","27660",
"계","단기취업","계","","76","77","127","361","253","242",
"계","단기취업","남자","","51","51","93","326","140","170",
"계","단기취업","여자","","25","26","34","35","113","72",
"계","문화예술","계","","62","82","105","94","129","108",
"계","문화예술","남자","","35","49","54","51","70","47",
"계","문화예술","여자","","27","33","51","43","59","61",
"계","구직","계","","190","200","199","235","204","295",
"계","구직","남자","","78","88","87","86","85","117",
"계","구직","여자","","112","112","112","149","119","178",
"계","유학","계","","19151","21931","23392","27271","28190","35476",
"계","유학","남자","","7216","7736","8085","9183","10132","13000",
"계","유학","여자","","11935","14195","15307","18088","18058","22476",
"계","기술연수","계","","1602","1448","1732","1460","1382","1085",
"계","기술연수","남자","","971","1000","1214","1039","1007","825",
"계","기술연수","여자","","631","448","518","421","375","260",
"계","일반연수","계","","12456","15090","17027","25325","29835","33345",
"계","일반연수","남자","","5414","6220","7146","11337","14688","16790",
"계","일반연수","여자","","7042","8870","9881","13988","15147","16555",
"계","취재","계","","16","15","17","15","18","24",
"계","취재","남자","","14","14","12","14","16","16",
"계","취재","여자","","2","1","5","1","2","8",
"계","종교","계","","667","576","524","567","519","447",
"계","종교","남자","","380","355","268","299","266","206",
"계","종교","여자","","287","221","256","268","253","241",
"계","주재","계","","563","482","377","495","311","388",
"계","주재","남자","","511","430","336","439","253","337",
"계","주재","여자","","52","52","41","56","58","51",
"계","기업투자","계","","921","593","565","717","501","603",
"계","기업투자","남자","","854","539","515","660","450","543",
"계","기업투자","여자","","67","54","50","57","51","60",
"계","무역경영","계","","1643","1771","1393","1107","715","650",
"계","무역경영","남자","","1572","1690","1328","1055","671","614",
"계","무역경영","여자","","71","81","65","52","44","36",
"계","교수","계","","518","484","367","319","306","289",
"계","교수","남자","","323","303","251","221","210","198",
"계","교수","여자","","195","181","116","98","96","91",
"계","선원","계","","3783","4361","3360","2946","3346","4223",
"계","선원","남자","","3783","4358","3360","2946","3343","4223",
"계","선원","여자","","0","3","0","0","3","0",
"계","회화지도","계","","8700","6976","6123","6391","5729","5735",
"계","회화지도","남자","","3809","2879","2378","2375","2022","1853",
"계","회화지도","여자","","4891","4097","3745","4016","3707","3882",
"계","연구","계","","881","758","675","852","701","768",
"계","연구","남자","","764","668","573","744","593","660",
"계","연구","여자","","117","90","102","108","108","108",
"계","기술지도","계","","38","20","10","14","14","13",
"계","기술지도","남자","","38","19","10","14","14","12",
"계","기술지도","여자","","0","1","0","0","0","1",
"계","전문직업","계","","101","101","136","161","119","93",
"계","전문직업","남자","","100","101","136","161","119","92",
"계","전문직업","여자","","1","0","0","0","0","1",
"계","예술흥행","계","","2423","2516","2119","1575","1112","1178",
"계","예술흥행","남자","","612","663","580","561","522","542",
"계","예술흥행","여자","","1811","1853","1539","1014","590","636",
"계","특정활동","계","","3755","3912","4153","4880","3767","4426",
"계","특정활동","남자","","2770","2871","2965","3045","2209","2593",
"계","특정활동","여자","","985","1041","1188","1835","1558","1833",
"계","비전문취업","계","","59522","53219","52167","60538","51341","54499",
"계","비전문취업","남자","","54421","48697","47582","54999","46703","50390",
"계","비전문취업","여자","","5101","4522","4585","5539","4638","4109",
"계","방문동거","계","","7684","8091","10394","17195","17803","18177",
"계","방문동거","남자","","2629","2763","3671","6535","7265","7559",
"계","방문동거","여자","","5055","5328","6723","10660","10538","10618",
"계","거주","계","","2775","2149","1979","2024","1914","2137",
"계","거주","남자","","1038","801","697","721","711","811",
"계","거주","여자","","1737","1348","1282","1303","1203","1326",
"계","동반","계","","5094","5172","4621","4865","4364","5274",
"계","동반","남자","","1486","1422","1317","1437","1282","1593",
"계","동반","여자","","3608","3750","3304","3428","3082","3681",
"계","재외동포","계","","28587","40802","45617","51500","51953","54882",
"계","재외동포","남자","","13936","18788","21165","24324","24390","25604",
"계","재외동포","여자","","14651","22014","24452","27176","27563","29278",
