"전출지별","전입지별","성별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","전국","계","계","이동자수","명","7411784","7629098","7755286","7378430","7154226","7297099",
"전국","전국","계","계","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","0 - 4세","이동자수","명","459745","461415","451344","417530","387118","379926",
"전국","전국","계","0 - 4세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","5 - 9세","이동자수","명","359560","357208","348704","325398","314134","318132",
"전국","전국","계","5 - 9세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","10 - 14세","이동자수","명","343609","327573","307697","263887","245501","247954",
"전국","전국","계","10 - 14세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","15 - 19세","이동자수","명","429314","426241","423725","385388","360288","343080",
"전국","전국","계","15 - 19세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","20 - 24세","이동자수","명","562797","605311","648271","639063","625278","636353",
"전국","전국","계","20 - 24세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","25 - 29세","이동자수","명","794762","796270","814025","802204","818455","882610",
"전국","전국","계","25 - 29세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","30 - 34세","이동자수","명","993697","1007542","967038","885522","821308","803519",
"전국","전국","계","30 - 34세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","35 - 39세","이동자수","명","720702","732542","748472","729964","729543","757182",
"전국","전국","계","35 - 39세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","40 - 44세","이동자수","명","654721","666813","663890","598840","562891","556042",
"전국","전국","계","40 - 44세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","45 - 49세","이동자수","명","521701","559029","580947","558818","548278","554187",
"전국","전국","계","45 - 49세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","50 - 54세","이동자수","명","489732","510132","523217","481855","459858","467739",
"전국","전국","계","50 - 54세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","55 - 59세","이동자수","명","354070","397980","437642","442641","432716","447293",
"전국","전국","계","55 - 59세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","60 - 64세","이동자수","명","228931","250378","285651","299397","305552","328580",
"전국","전국","계","60 - 64세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","65 - 69세","이동자수","명","161429","176546","189465","189389","187660","197249",
"전국","전국","계","65 - 69세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","70 - 74세","이동자수","명","134378","138799","140640","132844","128498","133157",
"전국","전국","계","70 - 74세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","75 - 79세","이동자수","명","94864","100456","103171","101128","101907","108355",
"전국","전국","계","75 - 79세","순이동자수","명","0","0","0","0","0","0",
"전국","전국","계","80세이상","이동자수","명","107772","114863","121387","124562","125241","135741",
"전국","전국","계","80세이상","순이동자수","명","0","0","0","0","0","0",
"전국","서울특별시","계","계","이동자수","명","1520090","1573594","1589431","1515602","1472937","1439707",
"전국","서울특별시","계","계","순이동자수","명","-100550","-87831","-137256","-140257","-98486","-110230",
"전국","서울특별시","계","0 - 4세","이동자수","명","76127","77759","72249","67137","61690","55070",
"전국","서울특별시","계","0 - 4세","순이동자수","명","-14408","-13291","-16056","-17047","-13658","-15742",
"전국","서울특별시","계","5 - 9세","이동자수","명","59682","59645","55836","51907","49721","46131",
"전국","서울특별시","계","5 - 9세","순이동자수","명","-5451","-4820","-6688","-7590","-5716","-7502",
"전국","서울특별시","계","10 - 14세","이동자수","명","66047","63592","59482","51303","47268","43908",
"전국","서울특별시","계","10 - 14세","순이동자수","명","-1828","-1312","-2778","-3315","-1952","-3008",
"전국","서울특별시","계","15 - 19세","이동자수","명","85499","85998","86582","78305","73703","67163",
"전국","서울특별시","계","15 - 19세","순이동자수","명","154","2176","836","564","2641","2911",
"전국","서울특별시","계","20 - 24세","이동자수","명","126498","137120","145448","146016","144975","145750",
"전국","서울특별시","계","20 - 24세","순이동자수","명","15632","18336","14671","17580","21174","23981",
"전국","서울특별시","계","25 - 29세","이동자수","명","189008","191612","193041","191507","199436","214305",
"전국","서울특별시","계","25 - 29세","순이동자수","명","5347","7964","3119","4983","10781","15360",
"전국","서울특별시","계","30 - 34세","이동자수","명","217644","223696","212393","197129","186520","180075",
"전국","서울특별시","계","30 - 34세","순이동자수","명","-23948","-21747","-25500","-23804","-16522","-17049",
"전국","서울특별시","계","35 - 39세","이동자수","명","145609","148587","149653","147551","147654","145324",
"전국","서울특별시","계","35 - 39세","순이동자수","명","-18075","-17217","-22897","-23892","-20343","-25472",
"전국","서울특별시","계","40 - 44세","이동자수","명","132575","133976","132521","119231","110731","101672",
"전국","서울특별시","계","40 - 44세","순이동자수","명","-10394","-10703","-14235","-14977","-11606","-14625",
"전국","서울특별시","계","45 - 49세","이동자수","명","103433","109604","115999","111421","109352","104175",
"전국","서울특별시","계","45 - 49세","순이동자수","명","-7876","-7538","-10591","-12288","-10034","-11834",
"전국","서울특별시","계","50 - 54세","이동자수","명","97517","100429","103652","94562","89133","85207",
"전국","서울특별시","계","50 - 54세","순이동자수","명","-9312","-8570","-11622","-12484","-10367","-10902",
"전국","서울특별시","계","55 - 59세","이동자수","명","73403","81414","88591","86526","83026","79294",
"전국","서울특별시","계","55 - 59세","순이동자수","명","-9635","-9861","-13840","-14907","-12434","-13409",
"전국","서울특별시","계","60 - 64세","이동자수","명","47063","51828","58920","60852","60994","61468",
"전국","서울특별시","계","60 - 64세","순이동자수","명","-7525","-7401","-11408","-12215","-10995","-11790",
"전국","서울특별시","계","65 - 69세","이동자수","명","34478","38294","40902","40068","38386","38561",
"전국","서울특별시","계","65 - 69세","순이동자수","명","-5589","-5743","-8460","-8717","-7751","-7918",
"전국","서울특별시","계","70 - 74세","이동자수","명","26951","28643","29741","28396","27016","27036",
