"행정구역별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(1)",출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당)
"전국",436455,8.6,266257,5.3,170198,3.4,322807,6.4,115292,2.3,435435,8.6,267692,5.3,167743,3.3,305507,6.0,115510,2.3,438420,8.6,275895,5.4,162525,3.2,302828,5.9,109153,2.1,406243,7.9,280827,5.5,125416,2.5,281635,5.5,107328,2.1,357771,7.0,285534,5.6,72237,1.4,264455,5.2,106032,2.1,326822,6.4,298820,5.8,28002,0.5,257622,5.0,108684,2.1
"서울특별시",84066,8.4,42063,4.2,42003,4.2,68819,6.9,20126,2.0,83711,8.4,42153,4.2,41558,4.2,64823,6.5,19477,2.0,83005,8.4,43053,4.3,39952,4.0,64193,6.5,18176,1.8,75536,7.7,43540,4.4,31996,3.3,57643,5.9,17777,1.8,65389,6.7,42932,4.4,22457,2.3,53776,5.5,17083,1.8,58074,6.0,45219,4.7,12855,1.3,52005,5.4,16940,1.8
"부산광역시",25831,7.4,20096,5.8,5735,1.6,20734,5.9,7444,2.1,26190,7.5,20230,5.8,5960,1.7,18927,5.4,7345,2.1,26645,7.7,20820,6.0,5825,1.7,18553,5.3,6649,1.9,24906,7.2,21074,6.1,3832,1.1,17113,4.9,6859,2.0,21480,6.2,21434,6.2,46,0.0,15677,4.5,6651,1.9,19152,5.6,22570,6.6,-3418,-1.0,14781,4.3,6678,2.0
"대구광역시",19340,7.8,12531,5.0,6809,2.7,13601,5.5,4796,1.9,19361,7.8,12642,5.1,6719,2.7,12552,5.1,4794,1.9,19438,7.9,13081,5.3,6357,2.6,12545,5.1,4497,1.8,18298,7.4,13502,5.5,4796,1.9,12216,5.0,4383,1.8,15946,6.5,13629,5.5,2317,0.9,11392,4.6,4380,1.8,14400,5.9,14070,5.7,330,0.1,10967,4.5,4530,1.8
"인천광역시",25560,9.0,13039,4.6,12521,4.4,18010,6.4,7253,2.6,25786,9.0,13409,4.7,12377,4.3,17251,6.0,7417,2.6,25491,8.8,13452,4.7,12039,4.2,17118,5.9,7116,2.5,23609,8.1,14119,4.9,9490,3.3,16092,5.5,7097,2.4,20445,7.0,14290,4.9,6155,2.1,15235,5.2,6988,2.4,20087,6.9,15316,5.2,4771,1.6,14850,5.1,7011,2.4
"광주광역시",12729,8.7,6891,4.7,5838,4.0,8820,6.0,2924,2.0,12729,8.7,6935,4.7,5794,4.0,8213,5.6,3051,2.1,12441,8.5,7443,5.1,4998,3.4,7945,5.4,2842,1.9,11580,7.9,7247,5.0,4333,3.0,7468,5.1,2817,1.9,10120,6.9,7560,5.2,2560,1.8,7141,4.9,2694,1.8,9105,6.3,7781,5.4,1324,0.9,6632,4.6,2887,2.0
"대전광역시",14099,9.3,6634,4.4,7465,4.9,9621,6.3,3003,2.0,13962,9.2,6564,4.3,7398,4.9,9118,6.0,3221,2.1,13774,9.1,6961,4.6,6813,4.5,8805,5.8,2999,2.0,12436,8.3,6958,4.6,5478,3.6,8325,5.5,2890,1.9,10851,7.2,7029,4.7,3822,2.6,7697,5.1,2855,1.9,9337,6.3,7403,5.0,1934,1.3,7377,5.0,3008,2.0
"울산광역시",11330,9.9,4871,4.3,6459,5.6,7998,7.0,2578,2.3,11556,10.0,4695,4.1,6861,5.9,7674,6.6,2731,2.4,11732,10.1,4915,4.2,6817,5.9,7483,6.4,2406,2.1,10910,9.4,4947,4.2,5963,5.1,7006,6.0,2520,2.2,9381,8.1,4886,4.2,4495,3.9,6331,5.4,2519,2.2,8149,7.1,5349,4.6,2800,2.4,5894,5.1,2658,2.3
