"행정구역별(시도)","성별","연령별","항목","단위","2015 년","2016 년","2017 년","2018 년",
"전국","계","합계","외국인 - 계","","1363712","1413758","1479247","1651561",
"전국","계","합계","2018","","","","","356707",
"전국","계","합계","2017","","","","274874","300908",
"전국","계","합계","2016","","","257978","263793","230775",
"전국","계","합계","2015","","230959","226052","201778","149460",
"전국","계","합계","2014","","283238","245748","177550","151556",
"전국","계","합계","2013","","213703","162028","140149","86675",
"전국","계","합계","2012","","137923","119415","73141","64924",
"전국","계","합계","2011","","133141","87232","73960","67071",
"전국","계","합계","2010","","90595","76408","68015","62547",
"전국","계","합계","2005~2009","","186795","160538","138354","127798",
"전국","계","합계","2000~2004","","45125","36985","28614","26758",
"전국","계","합계","1990~1999","","30703","27258","24769","12600",
"전국","계","합계","1989년이전","","11530","8544","8268","6584",
"전국","계","합계","미상","","","5572","5982","7198",
"전국","계","0~4세","외국인 - 계","","23273","25775","27022","32275",
"전국","계","0~4세","2018","","","","","11128",
"전국","계","0~4세","2017","","","","8918","7681",
"전국","계","0~4세","2016","","","9243","6957","5365",
"전국","계","0~4세","2015","","7325","5839","4300","3181",
"전국","계","0~4세","2014","","6901","4473","2757","2026",
"전국","계","0~4세","2013","","4355","2661","1573","X",
"전국","계","0~4세","2012","","2599","1534","X","X",
"전국","계","0~4세","2011","","1894","X","X","X",
"전국","계","0~4세","2010","","132","X","X","X",
"전국","계","0~4세","2005~2009","","X","X","X","X",
"전국","계","0~4세","2000~2004","","X","X","X","X",
"전국","계","0~4세","1990~1999","","X","X","X","X",
"전국","계","0~4세","1989년이전","","66","X","X","X",
"전국","계","0~4세","미상","","","2025","2517","2894",
"전국","계","5~9세","외국인 - 계","","14901","17566","15152","18792",
"전국","계","5~9세","2018","","","","","3905",
"전국","계","5~9세","2017","","","","2688","2901",
"전국","계","5~9세","2016","","","2653","2615","2413",
"전국","계","5~9세","2015","","2012","2191","1907","1807",
"전국","계","5~9세","2014","","2311","2087","1648","1637",
"전국","계","5~9세","2013","","1782","1720","1491","2396",
"전국","계","5~9세","2012","","1412","1492","1933","1518",
"전국","계","5~9세","2011","","2834","3875","1149","880",
"전국","계","5~9세","2010","","1780","1423","642","492",
"전국","계","5~9세","2005~2009","","2740","1704","654","311",
"전국","계","5~9세","2000~2004","","X","X","X","X",
"전국","계","5~9세","1990~1999","","X","X","X","X",
"전국","계","5~9세","1989년이전","","30","X","X","X",
"전국","계","5~9세","미상","","","421","425","532",
"전국","계","10~14세","외국인 - 계","","9432","10534","8816","11860",
"전국","계","10~14세","2018","","","","","2755",
"전국","계","10~14세","2017","","","","1811","1992",
"전국","계","10~14세","2016","","","1671","1743","1679",
"전국","계","10~14세","2015","","1384","1380","1181","1196",
"전국","계","10~14세","2014","","1331","1100","888","928",
"전국","계","10~14세","2013","","867","787","682","726",
